StartNodeLong,StartNodeLat,EndNodeLong,EndNodeLat
-122.4207,37.7489,-122.4207,37.7489
-122.4207,37.7489,-122.416,37.7483
-122.416,37.7483,-122.4118,37.7483
-122.4118,37.7483,-122.408,37.7484
-122.408,37.7484,-122.4051,37.7492
-122.4051,37.7492,-122.4057,37.7501
-122.4057,37.7501,-122.4061,37.7509
-122.4061,37.7509,-122.4064,37.753
-122.4064,37.753,-122.4069,37.7595
-122.4069,37.7595,-122.4075,37.7658
-122.4075,37.7658,-122.4078,37.7693
-122.4078,37.7693,-122.4054,37.7713
-122.4054,37.7713,-122.407,37.7725
-122.407,37.7725,-122.4003,37.7778
-122.4003,37.7778,-122.4018,37.779
-122.4018,37.779,-122.3996,37.7808
-122.3996,37.7808,-122.4027,37.7832
-122.4027,37.7832,-122.4005,37.785
-122.4005,37.785,-122.402,37.7863
-122.402,37.7863,-122.4015,37.7867
-122.4306,37.7729,-122.431,37.7749
-122.431,37.7749,-122.4409,37.7737
-122.4409,37.7737,-122.4459,37.7729
-122.4459,37.7729,-122.4454,37.7702
-122.4444,37.7662,-122.4446,37.7665
-122.4446,37.7665,-122.4457,37.772
-122.4457,37.772,-122.4468,37.7778
-122.4468,37.7778,-122.4476,37.7813
-122.4476,37.7813,-122.4472,37.7827
-122.4472,37.7827,-122.4476,37.7851
-122.4476,37.7851,-122.4464,37.7854
-122.4464,37.7854,-122.4434,37.7857
-122.4434,37.7857,-122.4437,37.7877
-122.4437,37.7877,-122.4448,37.793
-122.4448,37.793,-122.4415,37.7934
-122.4415,37.7934,-122.4423,37.7972
-122.4423,37.7972,-122.4406,37.7974
-122.4406,37.7974,-122.4408,37.7983
-122.4408,37.7983,-122.4359,37.799
-122.4353,37.8045,-122.435,37.8029
-122.435,37.8029,-122.4317,37.8033
-122.4317,37.8033,-122.4313,37.8014
-122.4313,37.8014,-122.428,37.8019
-122.428,37.8019,-122.4278,37.8008
-122.4278,37.8008,-122.4246,37.8013
-122.4246,37.8013,-122.4234,37.7957
-122.4243,37.7999,-122.4238,37.7976
-122.4238,37.7976,-122.4222,37.7978
-122.4222,37.7978,-122.4223,37.7987
-122.4223,37.7987,-122.4207,37.799
-122.4207,37.799,-122.4199,37.7953
-122.4199,37.7953,-122.4216,37.795
-122.4216,37.795,-122.4232,37.7948
-122.4232,37.7948,-122.4215,37.7856
-122.4215,37.7856,-122.4247,37.7853
-122.4247,37.7853,-122.4241,37.7825
-122.4241,37.7825,-122.4226,37.775
-122.4226,37.775,-122.4222,37.7729
-122.4222,37.7729,-122.4248,37.7707
-122.4248,37.7707,-122.424,37.763
-122.424,37.763,-122.4238,37.7616
-122.4238,37.7616,-122.4216,37.7617
-122.4539,37.7802,-122.4534,37.7778
-122.4534,37.7778,-122.4157,37.7826
-122.4157,37.7826,-122.4153,37.7807
-122.4153,37.7807,-122.4117,37.7811
-122.4117,37.7811,-122.4103,37.7822
-122.4103,37.7822,-122.4087,37.781
-122.4087,37.781,-122.4042,37.7845
-122.4042,37.7845,-122.4034,37.7851
-122.4034,37.7851,-122.4051,37.7864
-122.4051,37.7864,-122.4059,37.7857
-122.4059,37.7857,-122.4064,37.7857
-122.4064,37.7857,-122.4079,37.7855
-122.4079,37.7855,-122.4078,37.7849
